Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2017-08-28,8,2,3,0,1,0,52.69279098510742
2017-08-29,8,2,3,0,1,0,52.70139694213867
2017-08-30,8,2,3,0,1,0,53.11419677734375
2017-08-31,8,2,3,0,1,0,53.32060241699219
2017-09-01,9,2,3,0,1,0,53.42380142211914
2017-09-05,9,2,3,0,1,0,52.73579406738281
2017-09-06,9,2,3,0,1,0,52.976593017578125
2017-09-07,9,2,3,0,1,0,53.337799072265625
2017-09-08,9,2,3,0,1,0,52.92499923706055
2017-09-11,9,2,3,0,1,0,54.043006896972656
2017-09-12,9,2,3,0,1,0,54.18061828613281
2017-09-13,9,2,3,0,1,0,54.30961227416992
2017-09-14,9,2,3,0,1,0,54.26660919189453
2017-09-15,9,2,3,0,1,0,54.73962020874024
2017-09-18,9,2,3,0,1,0,55.26422119140625
2017-09-19,9,2,3,0,1,0,55.3674201965332
2017-09-20,9,2,3,0,1,0,55.27281951904297
2017-09-21,9,2,3,0,1,0,55.28142929077149
2017-09-22,9,2,3,0,1,0,54.8944206237793
2017-09-25,9,2,3,0,1,0,53.217403411865234
2017-09-26,9,2,3,0,1,0,53.337799072265625
2017-09-27,9,2,3,0,1,0,53.750606536865234
2017-09-28,9,2,3,0,1,0,53.49259948730469
2017-09-29,9,2,3,0,1,0,54.25800704956055
2017-10-02,10,2,4,0,1,0,54.54181671142578
2017-10-03,10,2,4,0,1,0,55.84903717041016
2017-10-04,10,2,4,0,1,0,55.78023147583008
2017-10-05,10,2,4,0,1,0,56.53704071044922
2017-10-06,10,2,4,0,1,0,56.16722106933594
2017-10-09,10,2,4,0,1,0,56.21023178100586
2017-10-10,10,2,4,0,1,0,56.76924133300781
2017-10-11,10,2,4,0,1,0,56.5456428527832
2017-10-12,10,2,4,0,1,0,56.2274284362793
2017-10-13,10,2,4,0,1,0,56.62303161621094
2017-10-16,10,2,4,0,1,0,56.88964080810547
2017-10-17,10,2,4,0,1,0,56.39943313598633
2017-10-18,10,2,4,0,1,0,56.92404174804688
2017-10-19,10,2,4,0,1,0,55.92643356323242
2017-10-20,10,2,4,0,1,0,56.34783554077149
2017-10-23,10,2,4,0,1,0,55.80602264404297
2017-10-24,10,2,4,0,1,0,55.76302719116211
2017-10-25,10,2,4,0,1,0,55.49642181396485
2017-10-26,10,2,4,0,1,0,55.31583023071289
2017-10-27,10,2,4,0,1,0,56.04683303833008
2017-10-30,10,2,4,0,1,0,55.61683654785156
2017-10-31,10,2,4,0,1,0,56.158634185791016
2017-11-01,11,2,4,0,1,0,56.5456428527832
2017-11-02,11,2,4,0,1,0,56.63164138793945
2017-11-03,11,2,4,0,1,0,56.61443328857422
2017-11-06,11,2,4,0,1,0,57.45724868774414
2017-11-07,11,2,4,0,1,0,57.66365051269531
2017-11-08,11,2,4,0,1,0,57.79265594482422
2017-11-09,11,2,4,0,1,0,57.68085479736328
2017-11-10,11,2,4,0,1,0,57.95605850219727
2017-11-13,11,2,4,0,1,0,57.93885803222656
2017-11-14,11,2,4,0,1,0,57.24223709106445
2017-11-15,11,2,4,0,1,0,56.83804321289063
2017-11-16,11,2,4,0,1,0,58.08505630493164
2017-11-17,11,2,4,0,1,0,58.11085510253906
2017-11-20,11,2,4,0,1,0,58.81607055664063
2017-11-21,11,2,4,0,1,0,60.16627883911133
2017-11-22,11,2,4,0,1,0,60.06306838989258
