Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI INDIA
2017-10-20,10,2,4,0,1,0,30.955028533935547
2017-10-23,10,2,4,0,1,0,31.0272216796875
2017-10-24,10,2,4,0,1,0,31.234798431396484
2017-10-25,10,2,4,0,1,0,31.243816375732425
2017-10-26,10,2,4,0,1,0,31.37919235229492
2017-10-27,10,2,4,0,1,0,31.695053100585938
2017-10-30,10,2,4,0,1,0,31.613842010498047
2017-10-31,10,2,4,0,1,0,31.803354263305664
2017-11-01,11,2,4,0,1,0,32.13727188110352
2017-11-02,11,2,4,0,1,0,32.20044708251953
2017-11-03,11,2,4,0,1,0,32.13727188110352
2017-11-06,11,2,4,0,1,0,32.29972076416016
2017-11-07,11,2,4,0,1,0,31.559688568115234
2017-11-08,11,2,4,0,1,0,31.6679801940918
2017-11-09,11,2,4,0,1,0,31.40626716613769
2017-11-10,11,2,4,0,1,0,31.297969818115234
2017-11-13,11,2,4,0,1,0,30.90087127685547
2017-11-14,11,2,4,0,1,0,30.756488800048828
2017-11-15,11,2,4,0,1,0,30.53086471557617
2017-11-16,11,2,4,0,1,0,31.1535701751709
2017-11-17,11,2,4,0,1,0,31.451391220092773
2017-11-20,11,2,4,0,1,0,31.424318313598636
2017-11-21,11,2,4,0,1,0,31.722131729125977
2017-11-22,11,2,4,0,1,0,31.64993667602539
2017-11-24,11,2,4,0,1,0,31.965805053710938
2017-11-27,11,2,4,0,1,0,31.830427169799805
2017-11-28,11,2,4,0,1,0,31.99287986755371
2017-11-29,11,2,4,0,1,0,31.640914916992188
2017-11-30,11,2,4,0,1,0,31.388214111328125
2017-12-01,12,2,4,0,1,0,30.90087127685547
2017-12-04,12,2,4,0,1,0,31.009174346923828
2017-12-05,12,2,4,0,1,0,31.081377029418945
2017-12-06,12,2,4,0,1,0,30.79257583618164
2017-12-07,12,2,4,0,1,0,31.36113739013672
2017-12-08,12,2,4,0,1,0,31.740182876586918
2017-12-11,12,2,4,0,1,0,31.91165542602539
2017-12-12,12,2,4,0,1,0,31.514558792114254
2017-12-13,12,2,4,0,1,0,31.68603515625
2017-12-14,12,2,4,0,1,0,31.839452743530277
2017-12-15,12,2,4,0,1,0,32.00190353393555
2017-12-18,12,2,4,0,1,0,32.18239212036133
2017-12-19,12,2,4,0,1,0,32.271507263183594
2017-12-20,12,2,4,0,1,0,32.39881896972656
2017-12-21,12,2,4,0,1,0,32.29878234863281
2017-12-22,12,2,4,0,1,0,32.60795593261719
2017-12-26,12,2,4,0,1,0,32.726165771484375
2017-12-27,12,2,4,0,1,0,32.57158279418945
2017-12-28,12,2,4,0,1,0,32.44428253173828
2017-12-29,12,2,4,0,1,0,32.79890823364258
2018-01-02,1,1,1,0,1,0,32.86256790161133
2018-01-03,1,1,1,0,1,0,32.980770111083984
2018-01-04,1,1,1,0,1,0,33.12626647949219
2018-01-05,1,1,1,0,1,0,33.66275405883789
2018-01-08,1,1,1,0,1,0,33.63548278808594
2018-01-09,1,1,1,0,1,0,33.517269134521484
2018-01-10,1,1,1,0,1,0,33.371788024902344
2018-01-11,1,1,1,0,1,0,33.708221435546875
