Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2017-06-26,6,1,2,0,1,0,39.396915435791016
2017-06-27,6,1,2,0,1,0,38.60532379150391
2017-06-28,6,1,2,0,1,0,39.01803207397461
2017-06-29,6,1,2,0,1,0,38.13848114013672
2017-06-30,6,1,2,0,1,0,38.375282287597656
2017-07-03,7,2,3,0,1,0,38.42940902709961
2017-07-05,7,2,3,0,1,0,38.05729675292969
2017-07-06,7,2,3,0,1,0,37.576934814453125
2017-07-07,7,2,3,0,1,0,37.51604080200195
2017-07-10,7,2,3,0,1,0,37.54986572265625
2017-07-11,7,2,3,0,1,0,37.35366439819336
2017-07-12,7,2,3,0,1,0,38.84889602661133
2017-07-13,7,2,3,0,1,0,39.1804084777832
2017-07-14,7,2,3,0,1,0,40.2155647277832
2017-07-17,7,2,3,0,1,0,40.38471221923828
2017-07-18,7,2,3,0,1,0,40.40501022338867
2017-07-19,7,2,3,0,1,0,41.02069091796875
2017-07-20,7,2,3,0,1,0,41.000396728515625
2017-07-21,7,2,3,0,1,0,41.2980842590332
2017-07-24,7,2,3,0,1,0,41.3454475402832
2017-07-25,7,2,3,0,1,0,40.7906608581543
2017-07-26,7,2,3,0,1,0,41.5551872253418
2017-07-27,7,2,3,0,1,0,40.9801025390625
2017-07-28,7,2,3,0,1,0,41.4131088256836
2017-07-31,7,2,3,0,1,0,40.6959342956543
2017-08-01,8,2,3,0,1,0,40.62827301025391
2017-08-02,8,2,3,0,1,0,40.83802032470703
2017-08-03,8,2,3,0,1,0,40.38471221923828
2017-08-04,8,2,3,0,1,0,40.540321350097656
2017-08-07,8,2,3,0,1,0,41.30485153198242
2017-08-08,8,2,3,0,1,0,40.83802032470703
2017-08-09,8,2,3,0,1,0,40.54708862304688
2017-08-10,8,2,3,0,1,0,39.89759063720703
2017-08-11,8,2,3,0,1,0,39.76226806640625
2017-08-14,8,2,3,0,1,0,40.52002334594727
2017-08-15,8,2,3,0,1,0,40.3779411315918
2017-08-16,8,2,3,0,1,0,41.21690368652344
2017-08-17,8,2,3,0,1,0,40.60797500610352
