Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2017-05-05,5,1,2,0,1,0,23.772130966186523
2017-05-08,5,1,2,0,1,0,23.46858024597168
2017-05-09,5,1,2,0,1,0,23.904937744140625
2017-05-10,5,1,2,0,1,0,24.39822196960449
2017-05-11,5,1,2,0,1,0,24.63852882385254
2017-05-12,5,1,2,0,1,0,25.131805419921875
2017-05-15,5,1,2,0,1,0,25.391090393066406
2017-05-16,5,1,2,0,1,0,25.574487686157227
2017-05-17,5,1,2,0,1,0,24.75236320495605
2017-05-18,5,1,2,0,1,0,20.71129035949707
2017-05-19,5,1,2,0,1,0,22.10890769958496
2017-05-22,5,1,2,0,1,0,21.495473861694336
2017-05-23,5,1,2,0,1,0,22.00771713256836
2017-05-24,5,1,2,0,1,0,22.248035430908203
2017-05-25,5,1,2,0,1,0,22.102582931518555
2017-05-26,5,1,2,0,1,0,22.450408935546875
2017-05-30,5,1,2,0,1,0,22.475704193115234
2017-05-31,5,1,2,0,1,0,22.2417106628418
2017-06-01,6,1,2,0,1,0,22.064638137817383
2017-06-02,6,1,2,0,1,0,22.089933395385746
2017-06-05,6,1,2,0,1,0,21.84961700439453
2017-06-06,6,1,2,0,1,0,22.10890769958496
2017-06-07,6,1,2,0,1,0,22.159496307373047
2017-06-08,6,1,2,0,1,0,22.064638137817383
2017-06-09,6,1,2,0,1,0,21.65357780456543
2017-06-12,6,1,2,0,1,0,21.40693473815918
2017-06-13,6,1,2,0,1,0,21.47649574279785
2017-06-14,6,1,2,0,1,0,21.70416641235352
2017-06-15,6,1,2,0,1,0,21.47649574279785
2017-06-16,6,1,2,0,1,0,21.59033203125
2017-06-19,6,1,2,0,1,0,21.69784545898437
2017-06-20,6,1,2,0,1,0,20.924488067626957
2017-06-21,6,1,2,0,1,0,20.97549819946289
2017-06-22,6,1,2,0,1,0,21.103004455566406
2017-06-23,6,1,2,0,1,0,21.06475257873535
2017-06-26,6,1,2,0,1,0,21.67680549621582
2017-06-27,6,1,2,0,1,0,21.307018280029297
2017-06-28,6,1,2,0,1,0,21.65129852294922
2017-06-29,6,1,2,0,1,0,21.56204605102539
2017-06-30,6,1,2,0,1,0,21.76605987548828
2017-07-03,7,2,3,0,1,0,21.93182182312012
2017-07-05,7,2,3,0,1,0,21.96370506286621
2017-07-06,7,2,3,0,1,0,21.60029602050781
2017-07-07,7,2,3,0,1,0,21.72143173217773
2017-07-10,7,2,3,0,1,0,22.09758949279785
2017-07-11,7,2,3,0,1,0,22.46737289428711
2017-07-12,7,2,3,0,1,0,23.136796951293945
2017-07-13,7,2,3,0,1,0,23.30256080627441
2017-07-14,7,2,3,0,1,0,23.474702835083008
2017-07-17,7,2,3,0,1,0,23.449201583862305
2017-07-18,7,2,3,0,1,0,23.66596984863281
2017-07-19,7,2,3,0,1,0,23.672346115112305
2017-07-20,7,2,3,0,1,0,23.81260681152344
2017-07-21,7,2,3,0,1,0,23.62771797180176
2017-07-24,7,2,3,0,1,0,23.71697425842285
2017-07-25,7,2,3,0,1,0,23.672346115112305
2017-07-26,7,2,3,0,1,0,23.69784545898437
2017-07-27,7,2,3,0,1,0,23.66596984863281
2017-07-28,7,2,3,0,1,0,23.83810806274414
2017-07-31,7,2,3,0,1,0,24.09950828552246
2017-08-01,8,2,3,0,1,0,24.30351829528809
2017-08-02,8,2,3,0,1,0,24.571290969848636
2017-08-03,8,2,3,0,1,0,24.50116729736328
2017-08-04,8,2,3,0,1,0,24.41827964782715
2017-08-07,8,2,3,0,1,0,24.74343681335449
2017-08-08,8,2,3,0,1,0,24.69880485534668
2017-08-09,8,2,3,0,1,0,24.44378662109375
2017-08-10,8,2,3,0,1,0,23.97837448120117
2017-08-11,8,2,3,0,1,0,24.227014541625977
2017-08-14,8,2,3,0,1,0,24.25889205932617
2017-08-15,8,2,3,0,1,0,24.507545471191406
2017-08-16,8,2,3,0,1,0,24.8199405670166
2017-08-17,8,2,3,0,1,0,24.36727523803711
2017-08-18,8,2,3,0,1,0,24.883697509765625
